,new_bin,points
124,"4[16+](80,90]",-1.5
125,"4[4-7](0,10]",-1.425
126,"4[4-7](10,20]",-3.122448979591837
127,"4[4-7](20,30]",-1.9387254901960784
128,"4[4-7](30,40]",-1.385321100917431
129,"4[4-7](40,50]",-1.02555910543131
130,"4[4-7](50,60]",-0.7095238095238096
131,"4[4-7](60,70]",-1.0390243902439025
132,"4[4-7](70,80]",-0.38823529411764707
133,"4[4-7](80,90]",-0.8903225806451613
134,"4[4-7](90,100]",-1.5864197530864197
135,"4[8-15](0,10]",-3.0240963855421685
136,"4[8-15](10,20]",-2.6970954356846475
137,"4[8-15](20,30]",-2.220136518771331
138,"4[8-15](30,40]",-1.8246013667425969
139,"4[8-15](40,50]",-1.330188679245283
140,"4[8-15](50,60]",-1.9288256227758007
141,"4[8-15](60,70]",-1.0909090909090908
142,"4[8-15](70,80]",-1.8068181818181819
143,"4[8-15](80,90]",-1.4067796610169492
144,"4[8-15](90,100]",-0.30952380952380953
