,"(0,10]","(10,20]","(20,30]","(30,40]","(40,50]","(50,60]","(60,70]","(70,80]","(80,90]","(90,100]"
Punt,0.18706697459584296,0.2525019245573518,0.23842516221269108,0.11096447817002089,0.05520730232046629,0.1248212911030463,0.031012867040580667,,,
FG,,,,,,0.0011061946902654867,0.1364306784660767,0.3108407079646018,0.32595870206489674,0.22566371681415928
Went for it,0.09951308581862446,0.07638466220328667,0.034996956786366405,0.01125989044430919,0.019172245891661596,0.15246500304321364,0.23797930614729154,0.1503347534996957,0.09616555082166768,0.12172854534388314
